,Animal,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m,Forebrain m r %,Cerebellum m r %,Forebrain n r %,Cerebellum n r %,Forebrain n d,Cerebellum n d,Whole brain n d,Forebrain n per body m,Cerebellum n per body m,Whole brain n per body m
36,House cat,24.176,5.11,34.858,249830000.0,942900000.0,1215000000.0,3900.0,69.35567158184635,14.659475586665904,20.562139917695475,77.60493827160494,10333.80211780278,184520.54794520547,34855.7002696655,64058.97435897436,241769.23076923078,311538.46153846156
37,Brown bear,222.0,45.106,315.004,250970000.0,9253000000.0,9585000000.0,277500.0,70.4752955518025,14.319183248466686,2.618362023995827,96.53625456442357,1130.4954954954956,205139.00589721987,30428.18503892014,904.3963963963964,33344.14414414414,34540.54054054054
38,Capybara,48.175,6.632,74.734,306500000.0,1157000000.0,1572000000.0,55000.0,64.46195841250301,8.874140284207991,19.49745547073791,73.60050890585241,6362.2210690192005,174457.1773220748,21034.602724328954,5572.727272727273,21036.363636363636,28581.81818181818
39,Domestic pig,42.404,8.128,64.18,307082000.0,1858000000.0,2224000000.0,130000.0,66.07042692427547,12.664381427235899,13.807643884892087,83.5431654676259,7241.816809734931,228592.51968503938,34652.53973200374,2362.1692307692306,14292.307692307691,17107.69230769231
40,Red fox,24.41,4.823,41.94,355010000.0,1640000000.0,2110000000.0,5490.0,58.202193609918936,11.499761564139249,16.82511848341232,77.72511848341233,14543.62965997542,340037.32116939663,50309.966618979495,64664.8451730419,298724.95446265937,384335.1548269581
41,Golden jackal,34.88,4.97,55.6,393620000.0,1218000000.0,1730000000.0,9200.0,62.73381294964029,8.93884892086331,22.752601156069364,70.40462427745665,11284.977064220184,245070.42253521126,31115.107913669064,42784.782608695656,132391.30434782608,188043.47826086957
42,Springbok,68.806,11.458,106.074,396900000.0,2257000000.0,2724000000.0,39000.0,64.86603691762355,10.801893018081717,14.570484581497798,82.85609397944201,5768.392291369939,196980.27578984117,25680.18553085582,10176.923076923076,57871.794871794875,69846.15384615384
43,Raccoon,24.491,3.338,34.186,437940000.0,1646000000.0,2148000000.0,6000.0,71.64043760603755,9.764230971742819,20.38826815642458,76.6294227188082,17881.670817851456,493109.64649490715,62832.738547943605,72990.0,274333.3333333333,358000.0
44,West highland white trrier (dog),46.56,7.342,76.7,440160000.0,2187000000.0,2830000000.0,9400.0,60.70404172099087,9.572359843546284,15.553356890459364,77.27915194346289,9453.60824742268,297875.23835467175,36897.00130378096,46825.53191489362,232659.5744680851,301063.829787234
45,Three-striped night monkey,10.617,1.732,15.73,441900000.0,1040000000.0,1468000000.0,800.0,67.49523204068659,11.010807374443738,30.10217983651226,70.84468664850137,41621.9270980503,600461.8937644341,93324.8569612206,552375.0,1300000.0,1835000.0
46,Chow chow (dog),39.74,7.82,69.2,471500000.0,1969000000.0,2610000000.0,26000.0,57.42774566473988,11.300578034682081,18.06513409961686,75.44061302681993,11864.620030196276,251790.28132992328,37716.76300578035,18134.615384615383,75730.76923076923,100384.61538461539
47,Striped hyena,67.45,14.032,99.214,495280000.0,3330000000.0,3885000000.0,40000.0,67.98435704638459,14.143165279093676,12.748519948519949,85.71428571428571,7342.920681986657,237314.70923603192,39157.78015199468,12382.0,83250.0,97125.0
48,Chihuahua (dog),32.48,5.06,52.1,513330000.0,1819000000.0,2510000000.0,4000.0,62.34165067178502,9.712092130518233,20.451394422310756,72.47011952191235,15804.495073891627,359486.16600790515,48176.58349328215,128332.5,454750.0,627500.0
49,Domestic dog,65.491,7.512,86.462,527910000.0,1676000000.0,2252000000.0,19700.0,75.74541417038698,8.688209849413614,23.44182948490231,74.42273534635879,8060.80224763708,223109.69116080937,26046.12430894497,26797.46192893401,85076.1421319797,114314.72081218274
50,Lion,139.902,24.882,198.946,545240000.0,4049000000.0,4667000000.0,175000.0,70.32159480462035,12.506911423200268,11.682879794300408,86.75808870794943,3897.299538248202,162728.07652117996,23458.62696410081,3115.657142857143,23137.14285714286,26668.571428571428
51,Blesbok,111.31,13.402,154.718,570670000.0,2401000000.0,3058000000.0,84500.0,71.94379451647515,8.662211248852751,18.661543492478742,78.51536952256377,5126.852933249484,179152.36531860917,19764.99179151747,6753.491124260355,28414.201183431953,36189.34911242603
52,Yorkshire terrier (dog),38.74,6.063,61.7,572140000.0,1811000000.0,2640000000.0,7600.0,62.78768233387358,9.826580226904374,21.671969696969697,68.59848484848486,14768.71450696954,298697.0146792017,42787.682333873585,75281.57894736843,238289.47368421053,347368.4210526316
53,Transylvanian hound (dog),81.3,11.189,124.3,725760000.0,3413000000.0,4390000000.0,31500.0,65.40627514078842,9.001609010458568,16.532118451025056,77.74487471526196,8926.937269372695,305031.72758959694,35317.77956556718,23040.0,108349.20634920635,139365.07936507938
54,Greater kudu,213.37,31.776,306.86,762000000.0,4042000000.0,4911000000.0,217500.0,69.53333767842012,10.355210845336634,15.516188149053145,82.30502952555487,3571.2611894830575,127202.92044310171,16004.04093071759,3503.448275862069,18583.908045977012,22579.310344827587
55,Long-tailed macaque,36.226,5.642,46.162,800960000.0,2572000000.0,3439000000.0,6363.0,78.47580260820588,12.222174082578745,23.290491421924976,74.7891829020064,22110.08667807652,455866.7139312301,74498.50526407002,125877.73063020587,404211.84975640423,540468.3325475404
56,Beagle (dog),53.11,10.938,88.0,844410000.0,3222000000.0,4330000000.0,12300.0,60.35227272727273,12.429545454545456,19.5013856812933,74.41108545034642,15899.265675014121,294569.3911135491,49204.545454545456,68651.21951219512,261951.21951219512,352032.52032520325
57,Komondor (dog),97.75,15.752,149.3,883380000.0,2912000000.0,3990000000.0,48400.0,65.47220361687877,10.550569323509713,22.13984962406015,72.98245614035088,9037.135549872122,184865.41391569324,26724.715338245143,18251.652892561982,60165.289256198346,82438.01652892563
58,German shepherd (dog),70.37,9.752,109.0,885460000.0,2454000000.0,3530000000.0,44400.0,64.55963302752295,8.946788990825688,25.083852691218127,69.51841359773371,12582.91885746767,251640.68908941754,32385.32110091743,19942.792792792792,55270.27027027027,79504.50450450451
59,Brown capuchin,39.178,4.6,52.208,1140000000.0,2490000000.0,3690000000.0,2643.0,75.04213913576463,8.810910205332515,30.89430894308943,67.47967479674797,29097.963142580018,541304.3478260869,70678.823168863,431328.036322361,942111.23723042,1396140.7491486946
60,Common squirrel monkey,20.652,4.3,30.216,1340000000.0,1820000000.0,3246000000.0,925.0,68.34789515488482,14.230871061689172,41.281577325939615,56.06900800985829,64884.75692426883,423255.81395348837,107426.52899126291,1448648.6486486488,1967567.5675675676,3509189.189189189
61,Bonnet macaque,48.274,5.748,61.47,1655000000.0,2038000000.0,3755000000.0,6755.0,78.53261753700993,9.350902879453391,44.0745672436751,54.27430093209055,34283.465219372745,354558.1071677105,61086.70896372214,245003.70096225018,301702.44263508514,555884.5299777943
62,Rhesus macaque,69.832,7.694,87.346,1710000000.0,4550000000.0,6376000000.0,8235.0,79.94870972912325,8.808646074233508,26.819322459222082,71.36135508155583,24487.341047084432,591369.898622303,72997.04622993611,207650.27322404372,552519.7328476018,774256.2234365513
63,Giraffe,398.808,67.73,537.218,1731000000.0,8878000000.0,10751000000.0,800000.0,74.23578510027588,12.607544795595086,16.100827829969305,82.57836480327411,4340.434494794487,131079.28539790344,20012.359973046325,2163.75,11097.5,13438.75
64,Harbour porpoise,382.77,106.14,563.53,2770000000.0,23400000000.0,26300000000.0,52500.0,67.92362429684312,18.83484464003691,10.532319391634982,88.97338403041825,7236.7217911539565,220463.53872244206,46670.097421610204,52761.90476190476,445714.28571428574,500952.38095238095
65,Yellow baboon,120.214,13.745,151.194,2875000000.0,7794000000.0,10948000000.0,20000.0,79.50976890617353,9.090969218355225,26.260504201680675,71.19108512970406,23915.683697406294,567042.5609312478,72410.28083124991,143750.0,389700.0,547400.0
66,African elephant,2847.0,1171.0,4618.0,5593000000.0,250700000000.0,257040000000.0,4800000.0,61.650064963187525,25.357297531398874,2.175925925925926,97.53345782757548,1964.5240604144715,214090.52092228865,55660.45907319186,1165.2083333333333,52229.166666666664,53550.0
67,Human,1232.0,154.02,1508.0,16340000000.0,69030000000.0,86000000000.0,62035.0,81.6976127320955,10.213527851458887,19.0,80.26744186046511,13262.987012987012,448188.5469419556,57029.17771883289,263399.69372128637,1112758.926412509,1386314.1774804546
