,Animal,Forebr m,Cer m,rest m,Forebr n,Cer n,Rest n,Body m,Fmr %,Cmr %,rmr %
127,Saker falcon,4.12,1.1971,1.504,442946000.0,645740000.0,74998000.0,1006.0,0.6040081511779626,0.17549955285804344,0.22049229596399408
128,Eurasian magpie,3.714,0.453,1.258,443000000.0,349000000.0,104000000.0,178.0,0.6846082949308756,0.08350230414746544,0.231889400921659
129,Common ostrich,25.58,5.8009,6.452,479410000.0,1059572000.0,42629000.0,120050.0,0.6761310922503959,0.15332950950098992,0.17053939824861433
130,Western jackdaw,4.165,0.483,1.376,492000000.0,375000000.0,100000000.0,246.0,0.6914010624169987,0.08017928286852591,0.22841965471447545
131,Striped hyena,67.45,14.032,17.732,495280000.0,3330000000.0,55490000.0,40000.0,0.6798435704638459,0.14143165279093675,0.17872477674521742
132,Domestic dog,65.491,7.512,13.459,527910000.0,1676000000.0,48150000.0,40000.0,0.7574541417038698,0.08688209849413614,0.15566375980199393
133,Eurasian jay,2.854,0.411,1.331,529000000.0,429000000.0,127000000.0,159.7,0.6209747606614447,0.08942558746736291,0.28959965187119235
134,White-tailed eagle,12.54,2.3578,3.113,542926000.0,983667000.0,81285000.0,5228.2,0.6962489173162769,0.13091034268327892,0.1728407400004442
135,Lion,139.902,24.882,34.162,545240000.0,4049000000.0,72040000.0,175000.0,0.7032159480462035,0.12506911423200268,0.17171493772179386
136,Blesbok,111.31,13.402,30.006,570670000.0,2401000000.0,86400000.0,84500.0,0.7194379451647512,0.0866221124885275,0.1939399423467211
137,Alexandrine parakeet,3.657,0.506,1.537,575000000.0,361000000.0,160000000.0,255.0,0.641578947368421,0.0887719298245614,0.2696491228070175
138,Tanimbar corella,5.502,0.571,2.202,599000000.0,413000000.0,148000000.0,275.0,0.6648942598187312,0.06900302114803626,0.2661027190332327
139,Striated caracara,6.847,1.136,1.733,663372000.0,592281000.0,68175000.0,1426.6,0.7047138740222313,0.11692054343351171,0.17836558254425688
140,Boreal owl,2.902,0.349,0.605,663908000.0,206170000.0,35979000.0,113.12,0.7525933609958506,0.0905082987551867,0.15689834024896263
141,Long-eared owl,3.84,0.4746,0.854,673000000.0,261386000.0,35852000.0,248.06,0.7429478001779979,0.09182370467824943,0.16522849514375268
142,Greater kudu,213.37,31.776,61.716,762000000.0,4042000000.0,106500000.0,217500.0,0.69532884488793,0.10355143354341691,0.201119721568653
143,Long-tailed macaque,36.226,5.642,4.294,800960000.0,2572000000.0,65440000.0,6363.0,0.7847580260820588,0.12222174082578745,0.09302023309215371
144,Rook,5.769,0.657,1.931,820000000.0,536000000.0,152000000.0,453.5,0.6903194926408999,0.07861672849108532,0.23106377886801485
145,Morepork,3.846,0.515,0.887,823855000.0,280175000.0,41749000.0,274.9,0.7328506097560976,0.09813262195121952,0.16901676829268295
146,Grey parrot,5.941,0.638,2.249,850000000.0,387000000.0,328000000.0,333.0,0.6729723606705936,0.07227004984141369,0.25475758948799276
147,Sulphur-crested cockatoo,6.767,0.836,2.528,1135000000.0,588000000.0,398000000.0,800.0,0.6679498568749384,0.08251900108577633,0.24953114203928536
148,Brown capuchin,39.178,4.6,8.43,1140000000.0,2490000000.0,61850000.0,2643.0,0.7504213913576463,0.08810910205332516,0.1614695065890285
149,Tawny owl,6.49,0.6228,1.318,1153000000.0,334017000.0,57050000.0,549.67,0.7697964605968592,0.07387199316790816,0.15633154623523274
150,Raven,10.195,1.145,2.794,1204000000.0,753000000.0,213000000.0,1041.0,0.7213103155511532,0.08101032970142917,0.19767935474741757
151,Snowy owl,13.48,1.2854,2.163,1270000000.0,452880000.0,50027000.0,1770.0,0.7962949835778929,0.07593157061506109,0.12777344580704614
152,Kea,9.483,0.825,3.284,1281000000.0,481000000.0,386000000.0,867.5,0.6976898175397294,0.060697469099470276,0.24161271336080048
153,Northern hawk-owl,5.311,0.554,1.126,1308000000.0,299621000.0,55277000.0,300.4,0.7596910313259906,0.07924474324131027,0.1610642254326992
154,Eurasian eagle-owl,11.72,1.2078,2.081,1328000000.0,471871000.0,58383000.0,2342.33,0.780875219871009,0.08047278929694579,0.13865199083204519
155,Common squirrel monkey,20.652,4.3,5.004,1340000000.0,1820000000.0,65530000.0,925.0,0.6894111363332888,0.14354386433435704,0.1670449993323541
156,Bonnet macaque,48.274,5.748,7.448,1655000000.0,2038000000.0,61350000.0,6755.0,0.7853261753700993,0.09350902879453392,0.12116479583536685
157,Great grey owl,10.969,1.025,1.663,1700000000.0,495827000.0,59403000.0,1013.3,0.8031778575089698,0.07505308632935491,0.12176905616167534
158,Rhesus macaque,69.832,7.694,9.204,1710000000.0,4550000000.0,121900000.0,8235.0,0.8051654560129137,0.08871209500749454,0.10612244897959186
159,Giraffe,398.808,67.73,70.68,1731000000.0,8878000000.0,142600000.0,800000.0,0.7423578510027585,0.12607544795595083,0.1315667010412905
160,Blue and yellow macaw,14.377,1.245,5.109,1916000000.0,633000000.0,585000000.0,1030.0,0.6935024842024021,0.06005499011142733,0.24644252568617045
161,Harbour porpoise,382.77,106.14,74.62,2770000000.0,23400000000.0,114000000.0,52500.0,0.6792362429684311,0.1883484464003691,0.13241531063119977
162,Yellow baboon,120.214,13.745,17.235,2875000000.0,7794000000.0,278100000.0,20000.0,0.7950976890617352,0.09090969218355224,0.11399261875471248
163,African elephant,2847.0,1171.0,564.0,5593000000.0,250700000000.0,741000000.0,4800000.0,0.6213443910955915,0.25556525534701,0.12309035355739852
164,Human,1232.0,154.02,117.669,16340000000.0,69030000000.0,690000000.0,62035.0,0.8193183563888543,0.10242809517127545,0.0782535484398702
