,Animal,Order,Family,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m,Forebrain m r %,Cerebellum m r %,Forebrain n r %,Cerebellum n r %,Forebrain n d,Cerebellum n d,Whole brain n d,Forebrain m per body m,Cerebellum m per body m,Whole brain m per body m,Forebrain n per body m,Cerebellum n per body m,Whole brain n per body m,Forebrain m/Rest m,Cerebellum m/Rest m,Forebrain m/Cerebellum m
30,Cape mole-rat,Rodentia,Bathyergidae,0.415,0.259,1.65,25600000.0,116740000.0,169670000.0,155.09,25.151515151515152,15.696969696969699,15.08811221783462,68.8041492308599,61686.74698795181,450733.5907335907,102830.30303030302,0.26758656264104713,0.16699980656393063,1.0638983815848861,165065.44587013993,752724.2246437552,1094009.929718228,0.4252049180327869,0.2653688524590164,1.6023166023166022
31,Eastern rock elephant shrew,Macroscelidea,Macroscelididae,0.471,0.168,1.04,25865000.0,89312000.0,129191000.0,45.1,45.28846153846153,16.153846153846153,20.020744479104582,69.13175066374593,54915.074309978765,531619.0476190476,124222.11538461539,1.0443458980044344,0.37250554323725055,2.305986696230599,573503.3259423503,1980310.421286031,2864545.4545454546,1.1745635910224437,0.41895261845386533,2.8035714285714284
32,Cayenne spiny rat,Rodentia,Echimyidae,0.924,0.33,2.078,26090000.0,162510000.0,202090000.0,356.5,44.46583253128008,15.880654475457174,12.91008956405562,80.41466673264387,28235.930735930735,492454.54545454547,97252.16554379211,0.2591865357643759,0.09256661991584852,0.5828892005610098,73183.73071528751,455848.5273492286,566872.3702664797,1.121359223300971,0.400485436893204,2.8
33,Wahlberg's epauletted fruit bat,Chiroptera,Pteropodidae,0.634,0.193,1.224,26201000.0,121136000.0,161755000.0,74.0,51.79738562091504,15.76797385620915,16.19795369540354,74.88856604123521,41326.49842271293,627647.6683937823,132152.77777777778,0.8567567567567568,0.2608108108108108,1.6540540540540538,354067.5675675676,1636972.972972973,2185878.378378378,1.5969773299748113,0.4861460957178842,3.284974093264249
34,Eastern mole,Eulipotyphla,Talpidae,0.476,0.153,0.999,26680000.0,158550000.0,203500000.0,90.0,47.647647647647645,15.315315315315313,13.110565110565112,77.91154791154791,56050.42016806723,1036274.5098039216,203703.7037037037,0.5288888888888889,0.16999999999999998,1.11,296444.44444444444,1761666.6666666667,2261111.111111111,1.2864864864864864,0.4135135135135135,3.111111111111111
35,Egyptian fruit bat,Chiroptera,Pteropodidae,0.985,0.219,1.778,28859000.0,132436000.0,172232000.0,120.0,55.39932508436445,12.317210348706412,16.75588740768266,76.89395698824842,29298.477157360405,604730.5936073059,96868.39145106862,0.8208333333333333,0.1825,1.4816666666666667,240491.66666666666,1103633.3333333333,1435266.6666666667,1.7160278745644597,0.38153310104529614,4.497716894977169
36,Brown rat,Rodentia,Muridae,0.769,0.272,1.724,31020000.0,139170000.0,188870000.0,300.0,44.60556844547564,15.77726218097448,16.423995340710544,73.6856038545031,40338.10143042913,511654.4117647059,109553.36426914153,0.2563333333333333,0.09066666666666667,0.5746666666666667,103400.0,463900.0,629566.6666666666,1.1259150805270866,0.3982430453879942,2.827205882352941
37,Four-toed elephant shrew,Macroscelidea,Macroscelididae,1.239,0.304,2.44,33947000.0,110650000.0,156830000.0,210.0,50.778688524590166,12.459016393442624,21.645731046355927,70.55410316903654,27398.708635996773,363980.2631578947,64274.59016393442,0.5900000000000001,0.14476190476190476,1.161904761904762,161652.38095238095,526904.7619047619,746809.5238095238,1.3812709030100339,0.338907469342252,4.0756578947368425
38,Ferret,Carnivora,Mustelidae,3.123,0.92,5.429,38950000.0,351260000.0,404430000.0,809.0,57.524405967949896,16.94603057653343,9.630838464011077,86.8531018964963,12471.982068523856,381804.347826087,74494.38202247191,0.38603213844252166,0.11372064276885044,0.6710754017305315,48145.85908529048,434190.3584672435,499913.47342398023,2.2532467532467533,0.6637806637806638,3.3945652173913046
39,Big-eared opossum,Didelphimorphia,Didelphidae,2.136,0.778,4.292,42500000.0,334260000.0,392500000.0,1200.0,49.76700838769805,18.126747437092266,10.828025477707007,85.16178343949045,19897.00374531835,429640.1028277635,91449.20782851818,0.17800000000000002,0.06483333333333334,0.35766666666666663,35416.666666666664,278550.0,327083.3333333333,1.550072568940494,0.5645863570391874,2.7455012853470437
40,Cape dune mole-rat,Rodentia,Bathyergidae,1.047,0.708,3.78,43480000.0,268890000.0,361290000.0,907.82,27.6984126984127,18.73015873015873,12.03465360236929,74.42497716515818,41528.17574021012,379788.13559322036,95579.36507936507,0.11533123306382322,0.07798902866206957,0.41638210217884597,47894.957150095834,296193.07792293624,397975.36956665415,0.5170370370370372,0.3496296296296297,1.478813559322034
41,Guinea pig,Rodentia,Caviidae,1.938,0.5,3.656,43510000.0,167850000.0,233560000.0,728.0,53.008752735229756,13.676148796498905,18.629046069532453,71.86590169549581,22450.980392156864,335700.0,63884.02625820569,0.2662087912087912,0.06868131868131869,0.5021978021978023,59766.48351648352,230563.18681318683,320824.1758241758,1.591133004926108,0.4105090311986863,3.876
42,Prairie dog,Rodentia,Sciuridae,2.586,0.789,5.321,53768000.0,350085000.0,437944000.0,1515.0,48.59988723924074,14.828039842134938,12.27736879601045,79.93830261403284,20791.956689868523,443707.2243346008,82304.82991918812,0.17069306930693068,0.05207920792079208,0.3512211221122112,35490.42904290429,231079.20792079208,289071.94719471945,1.328879753340185,0.4054470709146969,3.277566539923954
43,Common treeshrew,Scandentia,Tupaiidae,1.455,0.326,2.752,60390000.0,185280000.0,261400000.0,200.0,52.87063953488372,11.84593023255814,23.102524866105586,70.87987758224943,41505.154639175256,568343.5582822086,94985.46511627907,0.7275,0.163,1.376,301950.0,926400.0,1307000.0,1.4984552008238936,0.33573635427394455,4.46319018404908
44,European rabbit,Lagomorpha,Leporidae,4.448,1.412,9.132,71450000.0,396670000.0,494200000.0,1800.0,48.7078405606658,15.462111257117828,14.457709429380817,80.2650748684743,16063.399280575539,280927.76203966007,54117.3893999124,0.24711111111111114,0.07844444444444444,0.5073333333333333,39694.444444444445,220372.22222222222,274555.55555555556,1.3594132029339858,0.4315403422982886,3.1501416430594906
45,Eastern grey squirrel,Rodentia,Sciuridae,2.73,0.874,5.548,77330000.0,342830000.0,453660000.0,533.0,49.20692141312185,15.753424657534246,17.045805228585284,75.56980998986025,28326.007326007326,392254.00457665906,81770.00720980534,0.5121951219512195,0.16397748592870542,1.0409005628517825,145084.4277673546,643208.2551594747,851144.4652908067,1.404320987654321,0.4495884773662552,3.123569794050343
46,Western tree hyrax,Hyracoidea,Procaviidae,7.56,1.918,12.8,98960000.0,360929000.0,504573000.0,1150.0,59.06249999999999,14.984375,19.612622950494774,71.5315722402903,13089.94708994709,188179.8748696559,39419.765625,0.6573913043478261,0.16678260869565217,1.1130434782608696,86052.17391304347,313851.3043478261,438759.1304347826,2.2757375075255863,0.5773630343166765,3.9416058394160585
47,Black-rumped agouti*,Rodentia,Dasyproctidae,8.913,2.742,17.628,110640000.0,673490000.0,827330000.0,2843.3,50.56160653505787,15.554799183117767,13.37314010128969,81.40524337326097,12413.328845506563,245619.98541210796,46932.720671658724,0.31347378046635954,0.09643723842014561,0.6199838216157282,38912.53121373052,236869.1309394014,290975.2752083846,1.492214967353089,0.4590657960823707,3.25054704595186
48,Banded mongoose,Carnivora,Herpestidae,9.29,1.548,14.292,115770000.0,315740000.0,454020000.0,1332.0,65.00139938427093,10.831234256926953,25.498876701466894,69.54319192987093,12461.786867599569,203966.40826873385,31767.422334172963,0.6974474474474474,0.11621621621621622,1.0729729729729731,86914.41441441441,237042.04204204204,340855.85585585586,2.689635205558772,0.4481760277938621,6.001291989664082
