,Animal,Order,Family,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m,Forebrain m r %,Cerebellum m r %,Forebrain n r %,Cerebellum n r %,Forebrain n d,Cerebellum n d,Whole brain n d,Forebrain m per body m,Cerebellum m per body m,Whole brain m per body m,Forebrain n per body m,Cerebellum n per body m,Whole brain n per body m
29,Red junglefowl,Galliformes,Phasianidae,1.335,0.369,2.819,60000000.0,114000000.0,220840000.0,779.8,47.357218871940404,13.08974813763746,27.168991124796232,51.62108313711285,44943.8202247191,308943.0894308943,78339.83682156794,0.17119774301102847,0.04731982559630674,0.3615029494742242,76942.80584765325,146191.33111054118,283200.8207232624
30,Goldcrest,Passeriformes,Regulidae,0.176,0.04,0.357,64000000.0,66000000.0,163874000.0,5.6,49.29971988795518,11.204481792717088,39.05439545016293,40.27484530798052,363636.36363636365,1650000.0,459030.81232493,3.1428571428571432,0.7142857142857143,6.375,11428571.42857143,11785714.285714287,29263214.285714287
31,Eurpean roller,Coraciiformes,Coraciidae,1.05,0.263,1.993,67569000.0,160010000.0,269070000.0,142.7,52.68439538384345,13.196186653286501,25.112052625710778,59.46779648418627,64351.42857142857,608403.0418250951,135007.5263421977,0.7358093903293623,0.18430273300630698,1.396636299929923,473503.8542396637,1121303.433777155,1885564.120532586
32,Rock dove,Columbiformes,Columbidae,0.915,0.332,2.095,72000000.0,197000000.0,309958000.0,358.7,43.675417661097846,15.847255369928401,23.228953600165184,63.5569980448964,78688.52459016393,593373.4939759036,147951.31264916467,0.2550878171173683,0.09255645386116533,0.5840535266239198,200724.83969891275,549205.4641761918,864114.8592138278
33,Common pheasant,Galliformes,Phasianidae,1.898,0.451,3.845,76278000.0,194341000.0,321361000.0,1221.667,49.36280884265279,11.729518855656696,23.73592315184481,60.474357498265185,40188.6195995785,430911.30820399115,83578.93368010403,0.15536148557667515,0.036916770281918074,0.31473388411080927,62437.63644266401,159078.5377684754,263051.22426978877
34,Reeves's pheasant,Galliformes,Phasianidae,1.7,0.5158,3.691,80688000.0,245720000.0,387173000.0,1119.0,46.05797886751558,13.97453264697914,20.840296198340276,63.46516931707531,47463.529411764706,476386.1962000775,104896.50501219182,0.15192135835567472,0.046094727435210016,0.32984807864164434,72107.23860589812,219588.91867739052,345999.10634495085
35,Great tit,Passeriformes,Paridae,0.58,0.09,0.94,83000000.0,108000000.0,225982000.0,17.9,61.702127659574465,9.574468085106384,36.72858900266393,47.79141701551451,143103.44827586206,1200000.0,240406.3829787234,3.2402234636871508,0.5027932960893855,5.251396648044693,4636871.508379889,6033519.553072626,12624692.737430168
36,Yellow-spotted barbet,Piciformes,Lybiidae,0.5959,0.154,1.145,83148000.0,125800000.0,245290000.0,42.8,52.04366812227074,13.449781659388647,33.89783521545925,51.28623262260997,139533.47877160597,816883.1168831169,214227.07423580787,1.3922897196261683,0.3598130841121496,2.675233644859813,1942710.280373832,2939252.336448598,5731074.76635514
37,Speckled mousebird,Coliiformes,Coliidae,0.759,0.132,1.273,84175000.0,87600000.0,200660000.0,58.5,59.6229379418696,10.369206598586018,41.94906807535134,43.655935413136646,110902.50329380765,663636.3636363636,157627.65121759623,1.2974358974358973,0.22564102564102567,2.176068376068376,1438888.888888889,1497435.8974358975,3430085.47008547
38,Eurasian wryneck,Piciformes,Picidae,0.452,0.108,0.84,85387000.0,104730000.0,214740000.0,34.6,53.80952380952382,12.85714285714286,39.762969172021975,48.77060631461302,188909.29203539822,969722.2222222222,255642.85714285713,1.3063583815028903,0.3121387283236994,2.4277456647398843,2467832.3699421966,3026878.612716763,6206358.38150289
39,Eurasian sparrowhawk,Accipitriformes,Accipitridae,1.28,0.4795,2.739,87832000.0,253630000.0,401751000.0,162.4,46.732384081781674,17.506389193136183,21.86229779141807,63.13114341968035,68618.75,528946.8196037539,146677.98466593647,0.7881773399014778,0.29525862068965514,1.686576354679803,540837.4384236453,1561761.0837438423,2473836.2068965514
40,Green-rumped parrotled,Psittaciformes,Psittacidae,0.715,0.098,1.146,103000000.0,89600000.0,227204000.0,24.0,62.390924956369986,8.55148342059337,45.333708913575464,39.435925423848175,144055.94405594407,914285.7142857143,198258.28970331588,2.9791666666666665,0.4083333333333334,4.7749999999999995,4291666.666666667,3733333.3333333335,9466833.333333334
41,Wild turkey,Galliformes,Phasianidae,2.89,0.8564,6.041,105654000.0,315741000.0,492873000.0,3453.33,47.83976162886939,14.176460850852507,21.43635378687816,64.0613302006805,36558.47750865052,368684.02615600184,81587.98212216521,0.08368733946654389,0.024799251736729477,0.17493260128629468,30594.817176464458,91430.87975953644,142723.97946330064
42,Bearded barbet,Piciformes,Lybiidae,0.825,0.243,1.656,108595000.0,201250000.0,358410000.0,102.6,49.81884057971014,14.673913043478262,30.299098797466588,56.15077704305126,131630.30303030304,828189.3004115226,216431.15942028986,0.804093567251462,0.2368421052631579,1.6140350877192984,1058430.799220273,1961500.9746588694,3493274.85380117
